Rank,Name,ADP_Min,ADP_Max,Games,TOTAL,AST,FT,PTS,Threes,STL,BLK,FG,REB,TO,PG,SG,SF,PF,C
16,michael porter,32.1,34.1,67,0.5,-0.8,0.2,1.1,1.5,-0.3,0.6,1,1,0.1,No,No,Yes,Yes,No
17,clint capela,42.8,44.2,75,0.5,-1.1,-2.7,0.1,-1.6,-0.6,3.1,2.5,4,0.5,No,No,No,No,Yes
18,chris paul,32.4,37.9,76,0.5,2.7,1.3,0.3,-0.1,1.4,-0.8,0.3,-0.4,-0.6,Yes,No,No,No,No
18,kristaps porzingis,46.3,65.1,69,0.5,-0.6,0.6,1.1,0.8,-1.2,1.8,-0.4,1.7,0.3,No,No,No,Yes,Yes
19,myles turner,42.7,84.4,72,0.4,-1,-0.3,-0.3,-0,-0.2,4.8,0,0.6,0.4,No,No,No,Yes,Yes
19,tobias harris,41.3,43.4,76,0.4,0.2,1.1,0.9,-0,0.1,0.4,0.6,0.7,0,No,No,Yes,Yes,No
20,domantas sabonis,20.4,22.6,73,0.4,1.6,-1,1,-0.8,0.6,-0.3,1.4,3.1,-1.7,No,No,No,Yes,Yes
21,rudy gobert,25.4,25.7,76,0.4,-1,-3.4,-0,-1.7,-0.9,4.3,2.9,3.7,0,No,No,No,No,Yes
22,jrue holiday,36.1,41.9,72,0.4,1.5,-0.2,0.5,0.4,2.3,-0.1,0.4,-0.4,-0.6,Yes,Yes,No,No,No
23,deandre ayton,29.6,35.7,77,0.4,-0.8,-0.2,0.3,-1.6,-0.9,1.4,2.8,2.7,0.1,No,No,No,No,Yes
23,richaun holmes,45.9,90.5,72,0.4,-0.7,-0.1,-0,-1.6,-0.8,2.2,2.7,1.4,0.7,No,No,No,Yes,Yes
24,lamelo ball,25.5,26,76,0.4,2.2,-0.3,0.8,0.6,3,-0.5,-0.8,0.6,-1.9,Yes,No,No,No,No
25,jaren jackson,53.2,88.7,70,0.4,-0.9,0.4,0.6,0.7,0.3,2.3,-0.2,0.5,-0.1,No,No,No,Yes,Yes
26,trae young,12.7,16.5,78,0.4,3.4,3,2,1,-0.1,-1,-1.3,-0.6,-3,Yes,No,No,No,No
27,john collins,42.6,71.4,75,0.4,-0.9,0.4,0.6,-0.3,-1.2,0.9,2.1,1.4,0.4,No,No,No,Yes,Yes
27,shai gilgeous alexander,28.4,30.5,71,0.4,1.4,0.7,1.6,0.5,0.2,0.1,0.5,-0.2,-1.4,Yes,Yes,No,No,No
28,tyrese haliburton,55,73.4,74,0.4,1.3,0.4,0.2,1,1.7,-0.3,-0.1,-0.9,0,Yes,Yes,No,No,No
29,lebron james,13.2,18.7,74,0.4,2.1,-1.8,1.7,0.7,0.7,-0.1,1.1,0.9,-2.1,Yes,No,Yes,Yes,No
30,zach lavine,20.5,36.6,74,0.4,0.5,1.1,2.1,1.8,-0.1,-0.3,0.3,-0.2,-2,No,Yes,No,No,No
31,zion williamson,16.5,26.3,73,0.3,0.6,-2.8,2.5,-1.4,0.3,0.2,4.1,0.9,-1.4,No,No,No,Yes,No
32,khris middleton,34.9,37.3,75,0.3,1,1.4,1.1,0.9,0.7,-1.1,-0.1,0.2,-1.1,No,Yes,Yes,No,No
33,cj mccollum,50.7,51.3,74,0.3,0.7,0.3,1.5,2.1,0.2,-0.5,-0.8,-0.6,0,No,Yes,No,No,No
34,dejounte murray,35.8,52.5,74,0.3,1.9,0,0.3,-0.7,2.4,-1,-0.6,0.9,-0.3,Yes,Yes,No,No,No
35,donovan mitchell,19.4,26.6,75,0.3,1,1.2,2.2,1.8,0.4,-0.8,-1.3,-0.4,-1.3,Yes,Yes,No,No,No
36,jaylen brown,36.3,37.8,73,0.3,0.1,-0.5,1.8,1.4,1,-0.2,0.1,0.3,-1.2,No,Yes,Yes,No,No
36,robert williams,60.9,71,69,0.3,-0.5,-0.9,-0.8,-1.5,0.1,2.6,2.1,1,0.7,No,No,No,Yes,Yes
37,og anunoby,52.5,80.1,70,0.3,-0.5,-0.3,0.4,0.9,1.9,0.1,-0.1,0.1,0.2,No,No,Yes,Yes,No
38,mikal bridges,61,98.6,78,0.3,-0.6,0.3,-0.2,0.3,0.9,0.4,0.8,-0.5,1.2,No,No,Yes,No,No
39,brandon ingram,39.1,42.2,73,0.3,0.8,1.5,1.6,0.8,-0.4,-0.1,-0.4,-0.2,-1.1,No,No,Yes,Yes,No
40,pascal siakam,61.8,69.5,62,0.3,0.5,0.6,0.9,-0.1,0.6,0.2,-0.6,0.8,-0.5,No,No,No,Yes,Yes
41,devin booker,28.4,28.6,76,0.3,0.9,2.3,2.1,0.5,-0.3,-0.9,0.2,-0.5,-2,Yes,Yes,No,No,No
42,lonzo ball,48.4,51.8,72,0.2,1.4,-0.1,-0,1.4,1.8,-0.1,-1.3,-0.2,-0.7,Yes,No,No,No,No
43,jonas valanciunas,49.6,103.6,74,0.2,-0.7,-0.1,0.2,-1.3,-1.2,0.7,1.9,2.7,-0.1,No,No,No,No,Yes
44,derrick white,74.5,82,69,0.2,0.6,0.8,0.5,0.7,0.1,0.7,-0.9,-0.7,0.2,Yes,Yes,No,No,No
45,julius randle,24.6,26.3,77,0.2,0.9,0.4,1.4,0.4,-0.1,-0.7,-0.5,2.1,-1.9,No,No,No,Yes,Yes
46,christian wood,37.3,42.2,70,0.2,-0.7,-2,0.9,0.3,-0.3,1.1,1.2,1.7,-0.3,No,No,No,Yes,Yes
46,gordon hayward,69.5,109.7,68,0.2,0.4,0.8,0.6,0.2,0.7,-0.6,0,0.2,-0.4,No,No,Yes,No,No
47,de aaron fox,19.4,41.2,75,0.2,2.2,-1.7,1.9,0,2.1,-0.3,0.1,-0.8,-1.6,Yes,No,No,No,No
47,robert covington,80.8,106.9,77,0.2,-0.8,-0.1,-0.8,0.5,1.5,0.8,-0.7,0.6,0.9,No,No,Yes,Yes,No
48,jusuf nurkic,59.2,60.7,70,0.2,0,-1,-0,-1.3,0.7,1.5,0.7,2,-0.7,No,No,No,No,Yes
